!EPack|Epack|Epack
_winzip_|sfx|WinZip Self-Extractor
edata|compiler|Export Data Section
fuzzion|demos|Fuzzion group
fzn03|demos|Fuzzion group
g4kcodt|demos|
idata|compiler|Initialized Data Section (C RunTime)
imports|demos|
kkrunchy|packer|kkrunchy
lz32.dll|packer|Crinkler
minATL|compiler|Section that can be found inside some ARM PE files
nsp0|packer|NsPack
nsp1|packer|NsPack
nsp2|packer|NsPack
packer.|demos|Farbrausch group
pebundle|protector|PEBundle
pec1|packer|PECompact
pec2|packer|PECompact
pec3|packer|PECompact
pec4|packer|PECompact
pec5|packer|PECompact
pec6|packer|PECompact
pec|packer|PECompact
rdata|compiler|Read-only Data Section
relocs|demos|
resource|demos|
resultat|demos|
sdata|compiler|Initialized Data Section
shared|compiler|Shared section
testdata|compiler|section containing test data (can be found inside Visual Studio files)
text|compiler|Alternative Code Section
